player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
14.1,0.554,0.509,0.225,1.3,7.9,4.6,13.5,1.9,0.2,9.2,21.2,1.3,0.6,1.9,0.075,0.6,-0.8,-0.2,0.5
14.2,0.628,0.53,0.194,0.9,6.3,3.7,9.3,1.3,1,11.7,19.8,1.1,0.7,1.8,0.119,0,-0.8,-0.8,0.2
18,0.641,0.022,0.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,1.6,1.4,2.9,0.174,0,2.8,2.8,1
7.6,0.477,0.234,0.258,2,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3
7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9
14.1,0.588,0.689,0.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,1.6,1.4,3.1,0.135,1,0.6,1.6,1
12.4,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,0.1,0.3,0.4,0.056,-0.3,0.8,0.5,0.2
16.4,0.582,0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2
12.1,0.615,0.269,0.5,5.8,12.2,9,10.5,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0
14.1,0.556,0.003,0.446,10.5,24,17.2,6.5,0.7,5.1,16.6,14.9,1.1,1.8,2.9,0.094,-2.6,0.2,-2.4,-0.2
12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1,11.7,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7
14.3,0.582,0.087,0.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,0.5,1,1.5,0.136,-3.7,1.2,-2.6,-0.1
10.1,0.471,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0,-0.006,-2.8,-2.4,-5.2,-0.3
13,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,-0.1,0,0,-0.028,-0.7,-2.4,-3.2,0
20,0.585,0.366,0.319,2.5,11.9,7.2,26,3.2,1.5,16,26,3.2,2.4,5.7,0.121,2.4,0.4,2.8,2.7
-1.8,0.255,0.4,0.4,0,2.3,1.2,8.2,1.1,0,33.8,8.4,-0.1,0,-0.1,-0.103,-7.6,-0.7,-8.4,-0.1
13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,0.064,-0.6,-0.9,-1.5,0.3
13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8
10.9,0.696,0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-4.7,1.9,-2.8,-0.1
11.7,0.521,0.167,1,18.6,12.3,15.4,0,2.6,0,18.8,12.6,0,0,0.1,0.079,-2.6,-2.4,-5,0
18.1,0.561,0.364,0.312,1.5,12.7,7,24.4,1.2,0.6,13.9,31.7,1.9,0.6,2.4,0.063,2.9,-2,0.9,1.4
15.4,0.536,0.08,0.287,10.1,22,16,16.2,1,0.9,15.1,21.8,0.3,0.3,0.6,0.072,-1.1,-0.5,-1.7,0
14.5,0.618,0.064,0.358,10.7,15.7,13.3,7.6,1.6,1.9,13.7,12.6,1,0.7,1.7,0.163,-0.3,0.9,0.7,0.3
14.7,0.512,0.167,0.131,13.5,18.8,16.2,9,0.7,1.6,9.2,16.2,0.4,0.2,0.7,0.118,-0.3,-0.8,-1.1,0.1
-28.5,0,1,0,0,100,55.9,0,0,0,0,43.9,0,0,0,-0.899,-21.7,-11.4,-33.1,0
9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.4,-1.4,1.1,-0.2,-0.009,-2.8,-1.1,-3.9,-0.6
9,0.492,0.164,0.036,2,12.5,7.3,9.8,1.5,0.5,12.5,16.7,-0.1,0.1,0,0.009,-4.1,-0.3,-4.4,-0.1
9.5,0.337,0.091,0.182,15.8,27.1,21.5,5,0,0,0,18.4,0,0,0,0.033,-3,-4.5,-7.5,0
8.9,0.509,0.25,0.297,3.6,10.7,7.1,8.1,2.8,0.9,16.3,14.2,-0.2,0.9,0.7,0.048,-4.7,1.6,-3.1,-0.2
14.2,0.565,0.465,0.271,4.2,9.2,6.6,6.7,3.7,1.1,6.4,14.4,0.9,0.7,1.6,0.15,-1.2,2.3,1.1,0.4
14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,2,0.7,2.7,0.091,-0.1,-1,-1.2,0.3
9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,0.1,0.1,0.1,0.033,-2.6,-1.3,-3.8,-0.1
9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,0.1,1.1,1.2,0.024,-2.9,-1.1,-4,-1.2
26.1,0.629,0.314,0.225,4.7,8,6.3,25.9,2.9,1.5,12.5,29.8,0.6,0.2,0.7,0.179,7.5,-0.4,7.1,0.4
41.9,1.5,1,0,0,0,0,41.7,0,0,0,11.1,0,0,0,0.571,26.2,4.3,30.5,0
5.5,0.425,0.69,0.034,0,6.8,3.4,15,1.7,0,13.3,26.1,-0.3,0.1,-0.2,-0.08,-4.9,-2.3,-7.2,-0.2
13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,1.2,3.2,4.5,0.1,-0.8,0.3,-0.5,0.8
8.2,0.459,0.353,0.059,0.8,11.1,6,12.4,1.8,0,7.9,11.9,0,0.1,0.2,0.06,-3.9,1.5,-2.5,0
-1.2,0.357,0.714,0,3.7,14.4,9.1,8.7,0,0,22.2,12.8,-0.1,0,0,-0.063,-8.8,-2,-10.8,-0.1
9.1,0.503,0.444,0.117,4.1,17.5,10.8,4.5,2,1.4,10.4,14,0,0.7,0.7,0.043,-2.8,-0.2,-3.1,-0.2
-4.6,0,1,0,0,33.5,16.7,0,0,0,0,8.7,0,0,0,-0.18,-8.1,-3.2,-11.3,0
9.9,0.441,0.476,0.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,0,0.1,0.1,0.05,-3.1,-0.2,-3.3,0
13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,2.8,1.4,4.2,0.117,0.7,0,0.7,1.2
21,0.563,0.273,0.148,1.8,8.2,5,36.4,1.5,0.4,9.5,25.1,2,0.3,2.4,0.145,3.9,-1.4,2.5,0.9
13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,0.2,1.6,1.9,0.084,-1.3,0.4,-0.9,0.3
23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,7.1,1.8,8.9,0.198,5,0.7,5.8,4.2
12.8,0.498,0.227,0.207,3,7.7,5.3,22.4,2.2,0.4,15.3,26.4,-0.2,0.4,0.2,0.027,-2.3,-0.7,-3.1,-0.1
-0.1,0,1,0,0,15.7,8,16.7,7,0,0,12.5,0,0,0,-0.113,-8.2,5.7,-2.6,0
